periodo,nrc,momento,programa_codigo,programa_nombre,asignatura,banner_status,moodle_status,template
202685,85-1853,1,ATR9,Dip Op en Actualiz Tributaría,Proced Tribu e Inform Electrón,SIN_DOCENTE,OK,
202685,85-1854,1,ATR9,Dip Op en Actualiz Tributaría,Imp  Val Agr Iva Ret en la Fue,SIN_DOCENTE,OK,
202685,85-1855,1,ATR9,Dip Op en Actualiz Tributaría,Impuesto de Renta,SIN_DOCENTE,OK,
202685,85-1856,1,ATR9,Dip Op en Actualiz Tributaría,Proced Tribu e Inform Electrón,SIN_DOCENTE,REVISAR_MANUAL,
202685,85-1857,1,DFA9,Dp Op Familia Infancia Adolesc,Dp Op Familia Infancia Adolesc,SIN_DOCENTE,OK,
202685,85-1858,1,FTA9,Vicerrectoria Regionales,Fundamentos para el Acompañami,SIN_DOCENTE,REVISAR_MANUAL,
202685,85-1859,1,FTA9,Vicerrectoria Regionales,Posturas Críticas Emancipadora,SIN_DOCENTE,OK,
202685,85-1860,1,FTA9,Vicerrectoria Regionales,Técnicas Críticas y Participat,SIN_DOCENTE,OK,
202685,85-1861,1,FTA9,Vicerrectoria Regionales,Procesos de Resistencia Social,SIN_DOCENTE,REVISAR_MANUAL,
202685,85-1862,1,DFY9,Vicerrectoria Regionales,Análisis e Identif del Problem,SIN_DOCENTE,OK,
202685,85-1863,1,DFY9,Vicerrectoria Regionales,Etapa de Programación,SIN_DOCENTE,OK,
202685,85-1864,1,DFY9,Vicerrectoria Regionales,Etapa de Diseño,SIN_DOCENTE,REVISAR_MANUAL,
202685,85-1865,1,DFY9,Vicerrectoria Regionales,Elaboración de la Matriz Marco,SIN_DOCENTE,OK,
202685,85-1866,1,DDL9,Vicerrectoria Regionales,Teoría Literal,SIN_DOCENTE,REVISAR_MANUAL,
202685,85-1867,1,DDL9,Vicerrectoria Regionales,Historia Literatura Infantil,SIN_DOCENTE,OK,
202685,85-1868,1,DDL9,Vicerrectoria Regionales,Literatura Infantil Universal,SIN_DOCENTE,OK,
202685,85-1869,1,DDL9,Vicerrectoria Regionales,Literatura Hispanoamericana,SIN_DOCENTE,OK,
202685,85-1870,1,DDL9,Vicerrectoria Regionales,Didáctica Literatura Infantil,SIN_DOCENTE,OK,
202685,85-1871,1,DDL9,Vicerrectoria Regionales,Los Mediadores Ilustración,SIN_DOCENTE,OK,
202685,85-1872,1,DDL9,Vicerrectoria Regionales,Recursos Didácticos,SIN_DOCENTE,OK,CRIBA
